"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.091532,0.0013513,0,0.0022224,1,0.159,0.5,0.159,0.1
-0.091997,0.0013687,0,0.0022067,1,0.16,0.5,0.16,0.1
-0.092462,0.0013862,0,0.0021911,1,0.161,0.5,0.161,0.1
-0.092927,0.0014037,0,0.0021755,1,0.162,0.5,0.162,0.1
-0.093392,0.0014211,0,0.0021599,1,0.163,0.5,0.163,0.1
-0.093858,0.0014386,0,0.0021443,1,0.164,0.5,0.164,0.1
-0.094323,0.0014561,0,0.0021286,1,0.165,0.5,0.165,0.1
-0.094788,0.0014735,0,0.002113,1,0.166,0.5,0.166,0.1
-0.095253,0.001491,0,0.0020974,1,0.167,0.5,0.167,0.1
-0.095718,0.0015085,0,0.0020818,1,0.168,0.5,0.168,0.1
-0.096183,0.0015259,0,0.0020661,1,0.169,0.5,0.169,0.1
-0.096649,0.0015434,0,0.0020505,1,0.17,0.5,0.17,0.1
-0.097114,0.0015609,0,0.0020349,1,0.171,0.5,0.171,0.1
-0.097579,0.0015783,0,0.0020193,1,0.172,0.5,0.172,0.1
-0.098044,0.0015958,0,0.0020036,1,0.173,0.5,0.173,0.1
-0.098509,0.0016133,0,0.001988,1,0.174,0.5,0.174,0.1
-0.098975,0.0016307,0,0.0019724,1,0.175,0.5,0.175,0.1
-0.099426,0.0016552,0,0.0019506,1,0.176,0.5,0.176,0.1
-0.099877,0.0016797,0,0.0019289,1,0.177,0.5,0.177,0.1
-0.10033,0.0017041,0,0.0019071,1,0.178,0.5,0.178,0.1
-0.10078,0.0017286,0,0.0018854,1,0.179,0.5,0.179,0.1
-0.10123,0.0017531,0,0.0018636,1,0.18,0.5,0.18,0.1
-0.10168,0.0017775,0,0.0018419,1,0.181,0.5,0.181,0.1
-0.10213,0.001802,0,0.0018201,1,0.182,0.5,0.182,0.1
-0.10258,0.0018265,0,0.0017984,1,0.183,0.5,0.183,0.1
-0.10303,0.001851,0,0.0017766,1,0.184,0.5,0.184,0.1
-0.10349,0.0018754,0,0.0017549,1,0.185,0.5,0.185,0.1
-0.10394,0.0018999,0,0.0017331,1,0.186,0.5,0.186,0.1
-0.10439,0.0019244,0,0.0017114,1,0.187,0.5,0.187,0.1
-0.10484,0.0019488,0,0.0016896,1,0.188,0.5,0.188,0.1
-0.10529,0.0019733,0,0.0016679,1,0.189,0.5,0.189,0.1
-0.10574,0.0019978,0,0.0016461,1,0.19,0.5,0.19,0.1
-0.10619,0.0020222,0,0.0016244,1,0.191,0.5,0.191,0.1
-0.10664,0.0020467,0,0.0016026,1,0.192,0.5,0.192,0.1
-0.1071,0.0020712,0,0.0015809,1,0.193,0.5,0.193,0.1
-0.10755,0.0020956,0,0.0015591,1,0.194,0.5,0.194,0.1
-0.108,0.0021201,0,0.0015374,1,0.195,0.5,0.195,0.1
-0.10845,0.0021446,0,0.0015156,1,0.196,0.5,0.196,0.1
-0.1089,0.002169,0,0.0014939,1,0.197,0.5,0.197,0.1
-0.10935,0.0021935,0,0.0014721,1,0.198,0.5,0.198,0.1
-0.1098,0.002218,0,0.0014504,1,0.199,0.5,0.199,0.1
-0.11025,0.0022425,0,0.0014286,1,0.2,0.5,0.2,0.1
-0.11069,0.0022767,0,0.0013994,1,0.201,0.5,0.201,0.1
